"Commune","Année","Semestre","Trimestre","Type de bâtiment","Superficie du terrain","Nombre de ventes","Prix médian","1er quartile du prix","3ème quartile du prix"
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",2,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",1,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",1,,,
"Anderlecht","2011","1er semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements","Superficie inconnue",310,130000,105000,158000
"Anderlecht","2011","1er semestre 2011",,"Appartements","0-99m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements","100-299m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements","300-599m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements","600-999m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements","1000-1499m²",,,,
"Anderlecht","2011","1er semestre 2011",,"Appartements",">=1500m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",23,190000,175500,218000
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",58,255000,222500,309000
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",5,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",1,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",1,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",1,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",1,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements","Superficie inconnue",292,131500,110000,162250
"Anderlecht","2011","2ème semestre 2011",,"Appartements","0-99m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements","100-299m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements","300-599m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements","600-999m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements","1000-1499m²",,,,
"Anderlecht","2011","2ème semestre 2011",,"Appartements",">=1500m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",2,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",25,225000,185000,265000
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",74,241500,210000,285000
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",7,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",3,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2012","1er semestre 2012",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",4,,,
